ลำดับ	ชนิดข้อความ	ตำแหน่งในไฟล์	เลขข้อจาก TOR	ข้อความ TOR ต้นฉบับ	หมวด/Module	Frappe/ERPNext Coverage	สิ่งที่มีใน Standard	สิ่งที่ต้องทำเพิ่ม / Customization	Gap/Risk	Priority	Effort	หลักฐาน/Reference	หมายเหตุจาก Fit-Gap	ช่องให้เติมเอง
122	Paragraph	132	4.3.6(2)	(2) สามารถกำหนดแผนการจัดซื้อจัดจ้างประจำปีได้ โดยให้มีรายละเอียดอย่างน้อยประกอบด้วย (ก) ชื่อโครงการที่จะจัดซื้อจัดจ้าง (ข) วงเงินที่จะจัดซื้อจัดจ้างโดยประมาณ (ค) ระยะเวลาที่คาดว่าจะจัดซื้อจัดจ้าง (ง) รายการอื่น ๆ	Purchase Order / Procurement	กำหนดแผนจัดซื้อจัดจ้างประจำปี	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
123	Paragraph	133	4.3.6(3)	(3) สามารถอนุมัติแผนจัดซื้อจัดจ้างผ่านระบบได้ และส่งออกข้อมูลแผนจัดซื้อจัดจ้างในรูปแบบ Excel ตามรูปแบบที่กรมบัญชีกลางกำหนด เพื่อนำเข้าระบบ e-GP ได้	Purchase Order / Procurement	อนุมัติแผนจัดซื้อและ export Excel เข้า e-GP	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
124	Paragraph	134	4.3.6(4)	(4) สามารถบันทึกรายงานผลการจัดทำ TOR และขออนุมัติ TOR ได้	Purchase Order / Procurement	บันทึกผลจัดทำ TOR และขออนุมัติ TOR	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
125	Paragraph	135	4.3.6(5)	(5) สามารถกำหนดวิธีการจัดหาให้เป็นไปตามพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 และกฎหมายลำดับรองที่เกี่ยวข้อง ได้	Purchase Order / Procurement	กำหนดวิธีจัดหาตาม พ.ร.บ. 2560	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
126	Paragraph	136	4.3.6(6)	(6) สามารถบันทึกรายการขอซื้อขอจ้าง และสามารถอ้างอิงแผนจัดซื้อจัดจ้างได้	Purchase Order / Procurement	บันทึก PR/ขอซื้อขอจ้างและอ้างอิงแผน	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
127	Paragraph	137	4.3.6(7)	(7) สามารถบันทึกข้อมูลการเสนอราคาของผู้เสนอราคาแต่ละราย และสามารถบันทึกข้อมูล ผู้ชนะการเสนอราคาได้ และสามารถแนบไฟล์เอกสารการเสนอราคาได้ รวมทั้งรายงานผลการจัดซื้อจัดจ้าง เพื่ออนุมัติดำเนินการซื้อจ้างต่อไป	Purchase Order / Procurement	บันทึกเสนอราคา ผู้ชนะ แนบไฟล์ และรายงานอนุมัติ	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
128	Paragraph	138	4.3.6(8)	(8) สามารถบันทึกรายการจัดซื้อจัดจ้างแบบซื้อวัสดุ ซื้อทรัพย์สินที่เป็นครุภัณฑ์ หรือซื้อ/จ้าง ที่เป็นค่าใช้จ่ายได้	Purchase Order / Procurement	ซื้อวัสดุ ครุภัณฑ์ หรือซื้อ/จ้างเป็นค่าใช้จ่าย	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
129	Paragraph	139	4.3.6(9)	(9) สามารถบันทึกข้อมูลเพื่อแต่งตั้งคณะกรรมการจัดซื้อจัดจ้างและคณะกรรมการตรวจรับ ได้ทั้งที่เป็นบุคลากรภายในและบุคคลภายนอก	Purchase Order / Procurement	แต่งตั้งคณะกรรมการจัดซื้อ/ตรวจรับ ภายในและภายนอก	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
130	Paragraph	140	4.3.6(10)	(๑0) มีระบบการแจ้งเตือนคณะกรรมการร่าง TOR และกำหนดราคากลาง คณะกรรมการจัดซื้อจัดจ้าง และคณะกรรมตรวจรับผ่านทาง e-mail ได้	Purchase Order / Procurement	แจ้งเตือนคณะกรรมการผ่าน e-mail	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
131	Paragraph	141	4.3.6(11)	(๑1) คณะกรรมการที่เกี่ยวข้องกับการจัดซื้อจัดจ้างทั้งหมดสามารถอนุมัติรายการผ่านระบบได้	Purchase Order / Procurement	คณะกรรมการอนุมัติผ่านระบบ	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
132	Paragraph	142	4.3.6(12)	(๑2) สามารถบันทึกข้อมูลการเปลี่ยนแปลงคณะกรรมการที่เกี่ยวข้องกับการจัดซื้อจัดจ้าง และส่งอนุมัติรายการผ่านระบบได้	Purchase Order / Procurement	เปลี่ยนแปลงคณะกรรมการและอนุมัติ	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
133	Paragraph	143	4.3.6(13)	(๑3) สามารถบันทึกรายการสั่งซื้อสั่งจ้างได้ ในกรณีที่มีการแบ่งงวดสามารถบันทึกงวด การส่งมอบงานและการจ่ายเงินได้ และสามารถแสดงข้อมูลการรับหลักประกันต่าง ๆ ได้ รวมทั้งสามารถแนบไฟล์เอกสารอื่น ๆ ที่เกี่ยวข้องได้	Purchase Order / Procurement	PO/สัญญา แบ่งงวด ส่งมอบ จ่ายเงิน หลักประกัน แนบไฟล์	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
134	Paragraph	144	4.3.6(14)	(๑4) สามารถปิดใบสั่งซื้อสั่งจ้างในกรณีที่ต้องการยกเลิกใบสั่งซื้อสั่งจ้างได้	Purchase Order / Procurement	ปิด/ยกเลิกใบสั่งซื้อสั่งจ้าง	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
135	Paragraph	145	4.3.6(15)	(15) สามารถบันทึกรายการตรวจรับสินค้า/บริการ ได้ โดยสามารถแบ่งการตรวจรับ ตามจำนวนหน่วย จำนวนราคา หรือตามงวด และสามารถบันทึกค่าปรับในขั้นตอนการตรวจรับ	Purchase Order / Procurement	ตรวจรับสินค้า/บริการตามหน่วย/ราคา/งวด และบันทึกค่าปรับ	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
136	Paragraph	146	4.3.6(16)	(16) สามารถบันทึกรับและเบิกคืนเงินประกันสัญญา และเงินประกันผลงานได้	Purchase Order / Procurement	รับ/เบิกคืนเงินประกันสัญญาและผลงาน	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
137	Paragraph	147	4.3.6(17)	(17) สามารถบันทึกรับและคืนหลักประกันสัญญาที่เป็นหนังสือค้ำประกัน และพันธบัตรรัฐบาลได้	Purchase Order / Procurement	รับ/คืนหลักประกันสัญญา หนังสือค้ำประกัน/พันธบัตร	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
138	Paragraph	148	4.3.6(18)	(18) สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	Purchase Order / Procurement	Notification ผู้เกี่ยวข้อง	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
139	Paragraph	149	4.3.6(19)	(19) สามารถแจ้งเตือนไปยังผู้ขาย/ผู้ขาย ล่วงหน้า เพื่อแจ้งเตือนการส่งมอบงานตามใบสั่งซื้อสั่งจ้าง/สัญญา	Purchase Order / Procurement	แจ้งเตือนผู้ขายล่วงหน้าการส่งมอบ	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
140	Paragraph	150	4.3.6(20)	(๒0) สามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	Purchase Order / Procurement	ตรวจสถานะเอกสาร	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
141	Paragraph	151	4.3.6(21)	(๒1) มีเมนูสำหรับการบริหารสัญญา ซึ่งสามารถกำหนดเงื่อนไขการแสดงข้อมูลได้ เช่น เลขที่สัญญา ชื่อสัญญา ปีงบประมาณ วิธีการจัดหา เป็นต้น	Purchase Order / Procurement	เมนูบริหารสัญญาค้นตามเลขที่/ชื่อ/ปี/วิธีจัดหา	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
142	Paragraph	152	4.3.6(22)	(๒2) สามารถบันทึกข้อมูลการแก้ไขสัญญาผ่านระบบได้	Purchase Order / Procurement	บันทึกแก้ไขสัญญา	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
143	Paragraph	153	4.3.6(23)	(๒3) สามารถจัดทำรายงานสรุปผลการจัดซื้อจัดจ้าง (สขร. 1) ได้โดยอัตโนมัติ รวมทั้งสามารถบันทึกขออนุมัติประกาศสรุปผลการจัดซื้อจัดจ้าง (สขร. 1) ได้	Purchase Order / Procurement	รายงาน สขร.1 อัตโนมัติและขออนุมัติประกาศ	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
144	Paragraph	154	4.3.6(24)	(24) สามารถจัดทำรายละเอียดแนบท้ายประกาศผลผู้ชนะการจัดซื้อจัดจ้างหรือผู้ได้รับคัดเลือก และสาระสำคัญของสัญญาหรือข้อตกลงเป็นหนังสือได้ รวมทั้งขออนุมัติประกาศผลผู้ชนะการจัดซื้อ จัดจ้างหรือผู้ได้รับคัดเลือก และสาระสำคัญของสัญญาหรือข้อตกลงเป็นหนังสือได้	Purchase Order / Procurement	ประกาศผลผู้ชนะ/สาระสำคัญสัญญาและอนุมัติประกาศ	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
145	Paragraph	155	4.3.6(25)	(25) สามารถจัดทำรายงานการจัดซื้อจัดจ้างที่ผูกพันข้ามปีและขออนุมัติกันเงินเหลื่อมปีได้	Purchase Order / Procurement	รายงานผูกพันข้ามปีและกันเงินเหลื่อมปี	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
146	Paragraph	156	4.3.6(26)	(26) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการจัดซื้อ/จ้าง ทะเบียนคุมหลักประกัน/เงินประกัน ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	Purchase Order / Procurement	รายงานจัดซื้อ/ทะเบียนหลักประกัน export	มีบางส่วน	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
147	Paragraph	157	4.3.7	4.3.7 ระบบบริหารวัสดุ (Inventory Control System) เป็นระบบที่ทำหน้าที่ในการจัดการเกี่ยวกับการจัดการวัสดุในคลัง การรับวัสดุ การเบิกจ่ายวัสดุ การโอนย้ายวัสดุ โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
148	Paragraph	158	4.3.7(1)	(1) สามารถกำหนดรหัสสินค้าและบริการโดยจำแนกตามกลุ่ม	Inventory Control	กำหนดรหัสสินค้า/บริการตามกลุ่ม	มี	มี Item, Item Group, Warehouse, Stock Entry/Transfer/Reconciliation, stock reports	ต้องปรับ workflow เบิกวัสดุและรูปแบบรายงาน/เอกสารราชการ	Low-Medium	P2	S-M	https://docs.frappe.io/erpnext/stock-transactions	
149	Paragraph	159	4.3.7(2)	(2) สามารถกำหนดคลังสินค้าได้ไม่จำกัด	Inventory Control	กำหนดคลังไม่จำกัด	มี	มี Item, Item Group, Warehouse, Stock Entry/Transfer/Reconciliation, stock reports	ต้องปรับ workflow เบิกวัสดุและรูปแบบรายงาน/เอกสารราชการ	Low-Medium	P2	S-M	https://docs.frappe.io/erpnext/stock-transactions	
150	Paragraph	160	4.3.7(3)	(3) เมื่อมีการตรวจรับพัสดุแบบเข้าคลัง สามารถทำการบันทึกรายการวัสดุเข้าคลังโดยอัตโนมัติ	Inventory Control	ตรวจรับเข้าคลังแล้วบันทึกวัสดุอัตโนมัติ	มี	มี Item, Item Group, Warehouse, Stock Entry/Transfer/Reconciliation, stock reports	ต้องปรับ workflow เบิกวัสดุและรูปแบบรายงาน/เอกสารราชการ	Low-Medium	P2	S-M	https://docs.frappe.io/erpnext/stock-transactions	
151	Paragraph	161	4.3.7(4)	(4) สามารถบันทึกขอเบิกวัสดุจากคลัง	Inventory Control	บันทึกขอเบิกวัสดุจากคลัง	มีบางส่วน	มี Item, Item Group, Warehouse, Stock Entry/Transfer/Reconciliation, stock reports	ต้องปรับ workflow เบิกวัสดุและรูปแบบรายงาน/เอกสารราชการ	Low-Medium	P2	S-M	https://docs.frappe.io/erpnext/stock-transactions	
152	Paragraph	162	4.3.7(5)	(5) สามารถบันทึกรายการโอนย้ายวัสดุระหว่างคลัง	Inventory Control	โอนย้ายวัสดุระหว่างคลัง	มี	มี Item, Item Group, Warehouse, Stock Entry/Transfer/Reconciliation, stock reports	ต้องปรับ workflow เบิกวัสดุและรูปแบบรายงาน/เอกสารราชการ	Low-Medium	P2	S-M	https://docs.frappe.io/erpnext/stock-transactions	
153	Paragraph	163	4.3.7(6)	(6) สามารถบันทึกรายการปรับปรุงวัสดุ	Inventory Control	ปรับปรุงวัสดุ	มี	มี Item, Item Group, Warehouse, Stock Entry/Transfer/Reconciliation, stock reports	ต้องปรับ workflow เบิกวัสดุและรูปแบบรายงาน/เอกสารราชการ	Low-Medium	P2	S-M	https://docs.frappe.io/erpnext/stock-transactions	
154	Paragraph	164	4.3.7(7)	(7) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานวัสดุคงเหลือ ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	Inventory Control	รายงานวัสดุคงเหลือ export	มีบางส่วน	มี Item, Item Group, Warehouse, Stock Entry/Transfer/Reconciliation, stock reports	ต้องปรับ workflow เบิกวัสดุและรูปแบบรายงาน/เอกสารราชการ	Low-Medium	P2	S-M	https://docs.frappe.io/erpnext/stock-transactions	
155	Paragraph	166	4.3.8	4.3.8 ระบบทรัพย์สิน (Fixed Asset System) เป็นระบบที่หน้าที่ในการจัดการเกี่ยวกับ การควบคุมครุภัณฑ์และครุภัณฑ์ต่ำกว่าเกณฑ์ ธุรกรรมที่เกี่ยวข้องการทรัพย์สินของหน่วยงาน การตัดจำหน่าย การคำนวณค่าเสื่อมราคา โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
156	Paragraph	167	4.3.8(1)	(1) สามารถกำหนดรหัสทรัพย์สินได้ตามรูปแบบที่สำนักงบประมาณกำหนด	Fixed Asset	กำหนดรหัสทรัพย์สินตามสำนักงบประมาณ	ต้องทำเพิ่ม	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
157	Paragraph	168	4.3.8(2)	(2) สามารถกำหนดโครงสร้างของรหัสทรัพย์สิน และเก็บข้อมูลรหัสทรัพย์สินที่ออกจาก ระบบได้	Fixed Asset	กำหนดโครงสร้างรหัสทรัพย์สินและเก็บเลขที่ออกจากระบบ	มีบางส่วน	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
158	Paragraph	169	4.3.8(3)	(3) สามารถบันทึกข้อมูลทรัพย์สินทั้งที่เป็นครุภัณฑ์ปกติ และครุภัณฑ์มูลค่าต่ำกว่าเกณฑ์	Fixed Asset	บันทึกครุภัณฑ์ปกติและมูลค่าต่ำกว่าเกณฑ์	มีบางส่วน	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
159	Paragraph	170	4.3.8(4)	(4) สามารถบันทึกการได้มาของทรัพย์สินได้หลายวิธี เช่น จัดซื้อจัดจ้าง รับบริจาค รับโอน	Fixed Asset	บันทึกได้มาหลายวิธี เช่น ซื้อ รับบริจาค รับโอน	มีบางส่วน	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
160	Paragraph	171	4.3.8(5)	(5) สามารถบันทึกทรัพย์สินเป็นชุด โดยแยกเป็นทรัพย์สินหลักและทรัพย์สินย่อย	Fixed Asset	ทรัพย์สินเป็นชุด หลัก/ย่อย	มีบางส่วน	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
161	Paragraph	172	4.3.8(6)	(6) สามารถบันทึกประวัติการครอบครองและประวัติการบำรุงรักษา รวมไปถึงบันทึกข้อมูลและแก้ไขข้อมูลการเปลี่ยนแปลงสถานที่ตั้งของทรัพย์สินทั้งที่เป็นครุภัณฑ์ปกติและครุภัณฑ์มูลค่าต่ำกว่าเกณฑ์	Fixed Asset	ประวัติครอบครอง บำรุงรักษา และสถานที่ตั้ง	มีบางส่วน	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
162	Paragraph	173	4.3.8(7)	(7) สามารถคำนวณค่าเสื่อมราคาได้ วิธีเส้นตรง โดยระบบจะคำนวณให้อัตโนมัติ	Fixed Asset	ค่าเสื่อมเส้นตรงอัตโนมัติ	มี	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
163	Paragraph	174	4.3.8(8)	(8) สามารถบันทึกการจำหน่ายพัสดุให้เป็นไปตามวิธีการตามระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 ได้	Fixed Asset	จำหน่ายพัสดุตามระเบียบกระทรวงการคลัง	มีบางส่วน	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
164	Paragraph	175	4.3.8(9)	(9) สามารถบันทึกปรับปรุงราคาทุนของทรัพย์สินและค่าเสื่อมราคาได้	Fixed Asset	ปรับปรุงราคาทุนและค่าเสื่อม	มี	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
165	Paragraph	176	4.3.8(10)	(10) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานทรัพย์สินและค่าเสื่อมราคา ทั้งนี้ ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	Fixed Asset	รายงานทรัพย์สินและค่าเสื่อม export	มีบางส่วน	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
166	Paragraph	177	4.3.8(11)	(11) สามารถจัดทำป้ายครุภัณฑ์และตรวจนับครุภัณฑ์ด้วย QR Code รวมทั้งมีระบบตรวจนับครุภัณฑ์ผ่าน Mobile Application ได้	Fixed Asset	ป้ายครุภัณฑ์ QR และตรวจนับผ่าน Mobile App	ต้องทำเพิ่ม	มี Asset, depreciation, location/custodian fields, asset reports	ต้อง custom government asset coding, low-value asset control, QR label, mobile stock count และ disposal workflow	Medium-High	P1	M-L	https://docs.frappe.io/erpnext/asset	
167	Paragraph	178	4.3.9	4.3.9 ระบบบัญชีแยกประเภท (General Ledger System) เป็นระบบที่มีการเชื่อมต่อกับระบบงานอื่น โดยรายการทั้งหมดที่บันทึกจากระบบต่าง ๆ จะส่งมาที่ระบบบัญชีแยกประเภท เพื่อประมวลผลในการออกรายงานงบการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
168	Paragraph	179	4.3.9(1)	(1) สามารถกำหนดโครงสร้างของระบบบัญชีได้ เช่น ผังบัญชี รหัสบัญชี	General Ledger	กำหนดโครงสร้างบัญชี เช่น ผังบัญชี/รหัสบัญชี	มี	มี Chart of Accounts, Journal Entry, GL, Trial Balance, financial statements และ period closing	ต้องจัดผังบัญชีภาครัฐ รูปแบบงบ/รายงาน และ GFMIS integration/export	Medium	P1	M-L	https://docs.frappe.io/erpnext/general-ledger; https://docs.frappe.io/erpnext/accounting-reports	
169	Paragraph	180	4.3.9(2)	(2) สามารถเชื่อมโยงข้อมูลกับระบบงานต่าง ๆ และลงบัญชีอัตโนมัติ	General Ledger	เชื่อมข้อมูลระบบอื่นและลงบัญชีอัตโนมัติ	มี	มี Chart of Accounts, Journal Entry, GL, Trial Balance, financial statements และ period closing	ต้องจัดผังบัญชีภาครัฐ รูปแบบงบ/รายงาน และ GFMIS integration/export	Medium	P1	M-L	https://docs.frappe.io/erpnext/general-ledger; https://docs.frappe.io/erpnext/accounting-reports	
